week,avg(change)
1982-22,0.0
1982-35,-0.0013672000000000018
1982-44,-3.905999999999965E-4
1983-16,0.0
1994-40,-0.05703160000000005
1998-10,-0.07656240000000007
2001-36,0.015000000000000124
2001-4,-0.09224980000000009
2001-8,-0.03812499999999974
2002-10,-0.3604999999999999
2002-52,0.0034374999999999822
2005-47,0.01718749999999991
2006-37,0.015499999999999759
2013-37,-0.17299959999999998
2015-47,-0.6760020000000011
2016-52,0.017500999999999323
2017-29,-0.2299995999999993
2018-6,1.5039997999999983
